player_id,player_name_official,gp_regular,g_regular,a_regular,p_regular,plus_minus_regular,toi_per_game_regular,pim_regular,ppg_regular,ppp_regular,shg_regular,shp_regular,gwg_regular,otg_regular,sog_regular,shooting_pct_regular,fo_pct_regular,gp_playoffs,g_playoffs,a_playoffs,p_playoffs,plus_minus_playoffs,toi_per_game_playoffs,pim_playoffs,ppg_playoffs,ppp_playoffs,shg_playoffs,shp_playoffs,gwg_playoffs,otg_playoffs,sog_playoffs,shooting_pct_playoffs,fo_pct_playoffs,g_regular_per_game,a_regular_per_game,p_regular_per_game,sog_regular_per_game,pim_regular_per_game,g_playoffs_per_game,a_playoffs_per_game,p_playoffs_per_game,sog_playoffs_per_game,pim_playoffs_per_game
1911.0,Bobby Holik,215.0,62.0,65.0,127.0,-5.0,16.5423644338118,233.0,16.0,27.0,0.0,0.0,9.0,1.0,560.0,11.1,0.0,18.0,1.0,2.0,3.0,-6.0,16.441324200913243,19.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,3.3333333333333335,0.0,0.28837209302325584,0.3023255813953488,0.5906976744186047,2.604651162790698,1.083720930232558,0.05555555555555555,0.1111111111111111,0.16666666666666666,2.388888888888889,1.0555555555555556
1912.0,Scott Niedermayer,165.0,21.0,66.0,87.0,43.0,25.235805243445697,91.0,10.0,33.0,0.0,1.0,2.0,0.0,270.0,5.266666666666667,0.0,25.0,2.0,5.0,7.0,-4.0,26.51235827664399,10.0,1.0,3.0,0.0,0.0,0.0,0.0,40.0,2.3000000000000003,0.0,0.12727272727272726,0.4,0.5272727272727272,1.6363636363636365,0.5515151515151515,0.08,0.2,0.28,1.6,0.4
1913.0,Scott Stevens,235.0,43.0,92.0,135.0,59.0,23.77336569579288,617.0,23.0,53.0,0.0,0.0,7.0,0.0,446.0,9.4,0.0,17.0,2.0,9.0,11.0,-5.0,24.166666666666664,67.0,1.0,5.0,0.0,0.0,0.0,0.0,40.0,5.766666666666667,0.0,0.1829787234042553,0.39148936170212767,0.574468085106383,1.897872340425532,2.625531914893617,0.11764705882352941,0.5294117647058824,0.6470588235294118,2.3529411764705883,3.9411764705882355
1914.0,Sergei Nemchinov,230.0,75.0,86.0,161.0,47.0,14.18545994065282,85.0,6.0,17.0,1.0,6.0,14.0,1.0,412.0,18.5,0.0,36.0,3.0,9.0,12.0,-2.0,12.538364779874213,14.0,0.0,1.0,0.0,2.0,0.0,0.0,55.0,3.5666666666666664,0.0,0.32608695652173914,0.3739130434782609,0.7,1.791304347826087,0.3695652173913043,0.08333333333333333,0.25,0.3333333333333333,1.5277777777777777,0.3888888888888889
1915.0,Turner Stevenson,44.0,6.0,1.0,7.0,-3.0,11.506959706959703,88.0,0.0,0.0,0.0,0.0,1.0,0.0,36.0,5.7,0.0,3.0,0.0,2.0,2.0,1.0,11.409748427672955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13636363636363635,0.022727272727272728,0.1590909090909091,0.8181818181818182,2.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
1916.0,Ken Sutton,142.0,13.0,38.0,51.0,4.0,15.055031446540882,114.0,3.0,8.0,0.0,0.0,2.0,0.0,184.0,8.133333333333333,0.0,21.0,3.0,4.0,7.0,-1.0,16.766666666666666,14.0,0.0,1.0,0.0,0.0,0.0,0.0,34.0,6.266666666666667,0.0,0.09154929577464789,0.2676056338028169,0.3591549295774648,1.295774647887324,0.8028169014084507,0.14285714285714285,0.19047619047619047,0.3333333333333333,1.619047619047619,0.6666666666666666
1917.0,Bob Corkum,96.0,10.0,8.0,18.0,-10.0,15.25617816091954,63.0,0.0,0.0,1.0,2.0,2.0,0.0,98.0,16.9,0.0,14.0,2.0,0.0,2.0,0.0,13.427586206896551,6.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,12.033333333333333,0.0,0.10416666666666667,0.08333333333333333,0.1875,1.0208333333333333,0.65625,0.14285714285714285,0.0,0.14285714285714285,1.0,0.42857142857142855
1918.0,Steve Kelly,51.0,3.0,3.0,6.0,-14.0,9.416666666666668,29.0,1.0,1.0,0.0,0.0,1.0,0.0,28.0,9.5,25.73333333333333,6.0,0.0,0.0,0.0,1.0,8.647368421052633,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.5490196078431373,0.5686274509803921,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
1919.0,Jim McKenzie,113.0,9.0,4.0,13.0,-13.0,8.01901098901099,199.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,13.233333333333334,0.0,6.0,0.0,0.0,0.0,-2.0,7.412643678160919,8.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.07964601769911504,0.035398230088495575,0.11504424778761062,0.4424778761061947,1.761061946902655,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333
1920.0,Ken Daneyko,56.0,1.0,14.0,15.0,-2.0,17.32056910569106,127.0,0.0,0.0,0.0,1.0,0.0,0.0,66.0,1.9666666666666668,0.0,0.0,0.0,0.0,0.0,0.0,16.720833333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.25,0.26785714285714285,1.1785714285714286,2.267857142857143,,,,,
1921.0,Jiri Bicek,50.0,6.0,6.0,12.0,6.0,11.954,29.0,1.0,1.0,0.0,0.0,1.0,0.0,75.0,5.966666666666666,0.0,5.0,0.0,0.0,0.0,-2.0,8.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.12,0.12,0.24,1.5,0.58,0.0,0.0,0.0,0.4,0.0
1922.0,Ed Ward,50.0,5.0,6.0,11.0,-4.0,9.070921985815602,51.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,47.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,0.22,0.74,1.02,,,,,
1925.0,Valeri Kamensky,131.0,50.0,73.0,123.0,24.0,16.100315457413245,70.0,10.0,30.0,3.0,6.0,2.0,0.0,306.0,16.400000000000002,0.0,6.0,0.0,1.0,1.0,-1.0,16.603508771929825,6.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.3816793893129771,0.5572519083969466,0.9389312977099237,2.33587786259542,0.5343511450381679,0.0,0.16666666666666666,0.16666666666666666,3.5,1.0
