player_name,player_pos,player_link_official,player_link_ep,player_image
Mark Fistric,D,https://www.nhl.com/player/8471241,https://www.eliteprospects.com/player/8399/mark-fistric,https://assets.nhle.com/mugs/nhl/20132014/ANA/8471241.png
Alex Grant,D,https://www.nhl.com/player/8474005,https://www.eliteprospects.com/player/11393/alex-grant,https://assets.nhle.com/mugs/nhl/20132014/ANA/8474005.png
Clayton Stoner,D,https://www.nhl.com/player/8470886,https://www.eliteprospects.com/player/11361/clayton-stoner,https://assets.nhle.com/mugs/nhl/20142015/ANA/8470886.png
Simon Despres,D,https://www.nhl.com/player/8475155,https://www.eliteprospects.com/player/30902/simon-despres,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475155.png
Colby Robak,D,https://www.nhl.com/player/8474606,https://www.eliteprospects.com/player/17518/colby-robak,https://assets.nhle.com/mugs/nhl/20142015/ANA/8474606.png
Jesse Blacker,D,https://www.nhl.com/player/8475203,https://www.eliteprospects.com/player/33754/jesse-blacker,https://assets.nhle.com/mugs/nhl/20142015/ANA/8475203.png
Max Friberg,RW,https://www.nhl.com/player/8476384,https://www.eliteprospects.com/player/13766/max-friberg,https://assets.nhle.com/mugs/nhl/20142015/ANA/8476384.png
Dany Heatley,LW,https://www.nhl.com/player/8468482,https://www.eliteprospects.com/player/3664/dany-heatley,https://assets.nhle.com/mugs/nhl/20142015/ANA/8468482.png
Shawn Horcoff,C,https://www.nhl.com/player/8467423,https://www.eliteprospects.com/player/4375/shawn-horcoff,https://assets.nhle.com/mugs/nhl/20152016/ANA/8467423.png
Ryan Garbutt,C,https://www.nhl.com/player/8476116,https://www.eliteprospects.com/player/39057/ryan-garbutt,https://assets.nhle.com/mugs/nhl/20152016/ANA/8476116.png
Shea Theodore,D,https://www.nhl.com/player/8477447,https://www.eliteprospects.com/player/101581/shea-theodore,https://assets.nhle.com/mugs/nhl/20152016/ANA/8477447.png
Korbinian Holzer,D,https://www.nhl.com/player/8473560,https://www.eliteprospects.com/player/12276/korbinian-holzer,https://assets.nhle.com/mugs/nhl/20152016/ANA/8473560.png
Harry Zolnierczyk,LW,https://www.nhl.com/player/8476158,https://www.eliteprospects.com/player/39068/harry-zolnierczyk,https://assets.nhle.com/mugs/nhl/20152016/ANA/8476158.png
Patrick Eaves,RW,https://www.nhl.com/player/8470622,https://www.eliteprospects.com/player/9144/patrick-eaves,https://assets.nhle.com/mugs/nhl/20162017/ANA/8470622.png
Brandon Montour,D,https://www.nhl.com/player/8477986,https://www.eliteprospects.com/player/97957/brandon-montour,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477986.png
Nick Sorensen,RW,https://www.nhl.com/player/8477466,https://www.eliteprospects.com/player/33472/nick-sorensen,https://assets.nhle.com/mugs/nhl/20162017/ANA/8477466.png
Nicolas Kerdiles,LW,https://www.nhl.com/player/8476866,https://www.eliteprospects.com/player/90347/nic-kerdiles,https://assets.nhle.com/mugs/nhl/20162017/ANA/8476866.png
Kalle Kossila,C,https://www.nhl.com/player/8479290,https://www.eliteprospects.com/player/43563/kalle-kossila,https://assets.nhle.com/mugs/nhl/20162017/ANA/8479290.png
Jacob Larsson,D,https://www.nhl.com/player/8478491,https://www.eliteprospects.com/player/147719/jacob-larsson,https://assets.nhle.com/mugs/nhl/20162017/ANA/8478491.png
Derek Grant,C,https://www.nhl.com/player/8474683,https://www.eliteprospects.com/player/18242/derek-grant,https://assets.nhle.com/mugs/nhl/20172018/ANA/8474683.png
Kevin Roy,C,https://www.nhl.com/player/8476971,https://www.eliteprospects.com/player/121841/kevin-roy,https://assets.nhle.com/mugs/nhl/20172018/ANA/8476971.png
JT Brown,RW,https://www.nhl.com/player/8476806,https://www.eliteprospects.com/player/37802/j.t.-brown,https://assets.nhle.com/mugs/nhl/20172018/ANA/8476806.png
Andy Welinski,D,https://www.nhl.com/player/8476407,https://www.eliteprospects.com/player/75052/andy-welinski,https://assets.nhle.com/mugs/nhl/20172018/ANA/8476407.png
Mike Liambas,LW,https://www.nhl.com/player/8475436,https://www.eliteprospects.com/player/33873/mike-liambas,https://assets.nhle.com/mugs/nhl/20172018/ANA/8475436.png
Giovanni Fiore,RW,https://www.nhl.com/player/8479613,https://www.eliteprospects.com/player/156093/giovanni-fiore,https://assets.nhle.com/mugs/nhl/20172018/ANA/8479613.png
Troy Terry,RW,https://www.nhl.com/player/8478873,https://www.eliteprospects.com/player/234046/troy-terry,https://assets.nhle.com/mugs/nhl/20172018/ANA/8478873.png
Carter Rowney,C,https://www.nhl.com/player/8477240,https://www.eliteprospects.com/player/23959/carter-rowney,https://assets.nhle.com/mugs/nhl/20182019/ANA/8477240.png
Pontus Aberg,LW,https://www.nhl.com/player/8476857,https://www.eliteprospects.com/player/16835/pontus-aberg,https://assets.nhle.com/mugs/nhl/20182019/ANA/8476857.png
Sam Steel,C,https://www.nhl.com/player/8479351,https://www.eliteprospects.com/player/154496/sam-steel,https://assets.nhle.com/mugs/nhl/20182019/ANA/8479351.png
Maxime Comtois,LW,https://www.nhl.com/player/8480031,https://www.eliteprospects.com/player/201534/maxime-comtois,https://assets.nhle.com/mugs/nhl/20182019/ANA/8480031.png
Max Jones,LW,https://www.nhl.com/player/8479368,https://www.eliteprospects.com/player/233448/max-jones,https://assets.nhle.com/mugs/nhl/20182019/ANA/8479368.png
Joshua Mahura,D,https://www.nhl.com/player/8479372,https://www.eliteprospects.com/player/166669/josh-mahura,https://assets.nhle.com/mugs/nhl/20182019/ANA/8479372.png
