playername,fw_def,link
Adrian Aucoin,DEF,https://www.eliteprospects.com/player/5530/adrian-aucoin
Hnat Domenichelli,FW,https://www.eliteprospects.com/player/10650/hnat-domenichelli
Tomi Kallio,FW,https://www.eliteprospects.com/player/2092/tomi-kallio
Matt Cooke,FW,https://www.eliteprospects.com/player/8549/matt-cooke
Marian Cisar,FW,https://www.eliteprospects.com/player/69862/marian-cisar
Bates Battaglia,FW,https://www.eliteprospects.com/player/10213/bates-battaglia
Jamie Heward,DEF,https://www.eliteprospects.com/player/9049/jamie-heward
Stacy Roest,FW,https://www.eliteprospects.com/player/10835/stacy-roest
Dainius Zubrus,FW,https://www.eliteprospects.com/player/8632/dainius-zubrus
Bill Muckalt,FW,https://www.eliteprospects.com/player/69936/bill-muckalt
Claude Lemieux,FW,https://www.eliteprospects.com/player/24783/claude-lemieux
Adam Graves,FW,https://www.eliteprospects.com/player/9666/adam-graves
Randy Robitaille,FW,https://www.eliteprospects.com/player/8822/randy-robitaille
Turner Stevenson,FW,https://www.eliteprospects.com/player/25592/turner-stevenson
Garry Valk,FW,https://www.eliteprospects.com/player/66981/garry-valk
Shayne Corson,FW,https://www.eliteprospects.com/player/21878/shayne-corson
Drake Berehowsky,DEF,https://www.eliteprospects.com/player/5535/drake-berehowsky
Kim Johnsson,DEF,https://www.eliteprospects.com/player/698/kim-johnsson
Anders Eriksson,DEF,https://www.eliteprospects.com/player/471/anders-eriksson
Justin Williams,FW,https://www.eliteprospects.com/player/4506/justin-williams
Alexander Korolyuk,FW,https://www.eliteprospects.com/player/10195/alexander-korolyuk
Kimmo Timonen,DEF,https://www.eliteprospects.com/player/2664/kimmo-timonen
Brad May,FW,https://www.eliteprospects.com/player/8971/brad-may
Chris Herperger,FW,https://www.eliteprospects.com/player/10829/chris-herperger
Mathieu Dandenault,DEF,https://www.eliteprospects.com/player/8763/mathieu-dandenault
Peter White,FW,https://www.eliteprospects.com/player/8470/peter-white
Ted Donato,FW,https://www.eliteprospects.com/player/32184/ted-donato
Kris Draper,FW,https://www.eliteprospects.com/player/9142/kris-draper
Martin Skoula,DEF,https://www.eliteprospects.com/player/8598/martin-skoula
Steve Duchesne,DEF,https://www.eliteprospects.com/player/21626/steve-duchesne
Jyrki Lumme,DEF,https://www.eliteprospects.com/player/2666/jyrki-lumme
Mike Keane,FW,https://www.eliteprospects.com/player/25136/mike-keane
