player_id,player_name_official,player_name_ep,player_pos_official,player_pos_ep,player_link_official,player_link_ep,player_image_official,date_of_birth,nation,height_cm,weight_kg,shoots,player_type,nhl_rights,draft,highlights,description
2747,Thomas Hickey,Thomas Hickey,D,D,https://www.nhl.com/player/8474066,https://www.eliteprospects.com/player/11617/thomas-hickey,https://assets.nhle.com/mugs/nhl/latest/8474066.png,2/8/1989,Canada,182,86,L,,,"('1', '4', '2007')","['2-time U20 WJC Gold Medal', '2-time WHL (West) First All-Star Team', '1-time WHL (West) Second All-Star Team']",Brother : Daniel Hickey
2748,Brian Strait,Brian Strait,D,D,https://www.nhl.com/player/8473565,https://www.eliteprospects.com/player/9313/brian-strait,https://assets.nhle.com/mugs/nhl/latest/8473565.png,1/4/1988,USA,185,93,L,,,"('3', '65', '2006')","['1-time U18 WJC Gold Medal', '1-time NCAA (Championship) Winner', '1-time NCAA (Hockey East) Champion']",
2749,Anders Lee,Anders Lee,LW,LW,https://www.nhl.com/player/8475314,https://www.eliteprospects.com/player/19068/anders-lee,https://assets.nhle.com/mugs/nhl/latest/8475314.png,7/3/1990,USA,191,107,L,"['Leader', 'Net-Front Presence', 'Two-Way Forward']",New York Islanders / Signed,"('6', '152', '2009')","['2-time World Championship Bronze Medal', '1-time NCAA (CCHA) Champion', '1-time NCAA (West) Second All-American Team', '1-time NHL Leadership-Humanitarian Award (King Clancy Trophy)', '1-time USHL All-Rookie Team', '1-time USHL Clark Cup Champion', '1-time USHL Clark Cup MVP', '1-time USHL First All-Star Team', '1-time USHL Rookie of the Year', '1-time USHS-MN State Champion']",
2750,Matt Carkner,Matt Carkner,D,D,https://www.nhl.com/player/8467931,https://www.eliteprospects.com/player/9107/matt-carkner,https://assets.nhle.com/mugs/nhl/latest/8467931.png,11/3/1980,Canada,195,104,R,['Enforcer'],,"('2', '58', '1999')",[],"Son: Corbin Carkner Son: Chase Carkner Nephew: Cade Helmer
Third cousin: Terry Carkner"
2751,Joe Finley,Joe Finley,D,D,https://www.nhl.com/player/8471701,https://www.eliteprospects.com/player/12209/joe-finley,https://assets.nhle.com/mugs/nhl/latest/8471701.png,6/29/1987,USA,203,109,L,,,"('1', '27', '2005')",[],
2752,Cal Clutterbuck,Cal Clutterbuck,RW,RW,https://www.nhl.com/player/8473504,https://www.eliteprospects.com/player/9359/cal-clutterbuck,https://assets.nhle.com/mugs/nhl/latest/8473504.png,11/18/1987,Canada,183,96,R,"['Agitator', 'Checking-line Player', 'Heavy Hitter']",,"('3', '72', '2006')","['1-time U17 WHC Gold Medal', '1-time U18 WJC Silver Medal']",
2753,Pierre-Marc Bouchard,Pierre-Marc Bouchard,C,C,https://www.nhl.com/player/8470153,https://www.eliteprospects.com/player/9086/pierre-marc-bouchard,https://assets.nhle.com/mugs/nhl/latest/8470153.png,4/27/1984,Canada,178,76,L,,,"('1', '8', '2002')","['1-time U20 WJC Silver Medal', '1-time CHL First All-Star Team', '1-time CHL Player of the Year', '1-time CHL Top Scorer Award', '1-time NL Media All-Star Team', '1-time NL Most Assists', '1-time NL Most Points', '1-time QMJHL All-Rookie Team', '1-time QMJHL First All-Star Team', '1-time QMJHL Most Assists', '1-time QMJHL Most Points (Jean Beliveau Trophy)', '1-time QMJHL Most Valuable Player (Michel Brière Trophy)', '1-time QMJHL Offensive Rookie of the Year (Michel Bergeron Trophy)', '1-time QMJHL Rookie of the Year']","A very skilled all-around-player, Bouchard has everything to be one of the NLA's dominating players. A good skater with great vision and quick hands, he opens room for his linemates. Is able to slow down or push the pace of game."
2754,Kevin Czuczman,Kevin Czuczman,D,D,https://www.nhl.com/player/8477814,https://www.eliteprospects.com/player/75939/kevin-czuczman,https://assets.nhle.com/mugs/nhl/latest/8477814.png,1/9/1991,Canada,191,88,L,,,,[],
2755,John Persson,John Persson,LW,LW/RW,https://www.nhl.com/player/8476367,https://www.eliteprospects.com/player/20380/john-persson,https://assets.nhle.com/mugs/nhl/latest/8476367.png,5/18/1992,Sweden,187,96,L,,,"('5', '125', '2011')",[],"A winger with very good size. Persson likes to go to the hard areas and force scoring plays.
Isn't a great skater, but has a high compete level."
2756,Mike Halmo,Mike Halmo,LW,LW/RW,https://www.nhl.com/player/8476765,https://www.eliteprospects.com/player/37694/mike-halmo,https://assets.nhle.com/mugs/nhl/latest/8476765.png,5/15/1991,Canada,179,85,L,,,,"['1-time ICEHL Champion', '1-time OHL Champion']","Halmo is a stocky winger who plays a feisty, gritty game. Won't hesitate to drop the gloves. Works hard enough to have some offensive upside, too.
- Erik K."
2757,Johan Sundstrom,Johan Sundstrom,C,C,https://www.nhl.com/player/8476445,https://www.eliteprospects.com/player/16727/johan-sundstrom,https://assets.nhle.com/mugs/nhl/latest/8476445.png,9/21/1992,Sweden,189,92,R,,,"('2', '50', '2011')","['1-time J20 SM Gold Medal', '1-time U20 WJC Gold Medal', '1-time TV-Pucken Bronze Medal', '3-time Champions Hockey League Champion', '1-time SHL Champion', '1-time SHL Playoffs MVP (Stefan Liv Memorial Trophy)']","A center, that can also play wing. Sundström has very good size, strength and speed. Has nice hands and hockey sense. Doesn't mind going into high-traffic areas. Is very well-rounded. Has tremendous reach. Pretty good release. Some consistency issues."
2758,Justin Johnson,Justin Johnson,RW,RW,https://www.nhl.com/player/8476086,https://www.eliteprospects.com/player/24335/justin-johnson,https://assets.nhle.com/mugs/nhl/latest/8476086.png,5/5/1981,USA,185,100,R,,,,[],
2759,Brett Gallant,Brett Gallant,LW,LW,https://www.nhl.com/player/8474236,https://www.eliteprospects.com/player/40286/brett-gallant,https://assets.nhle.com/mugs/nhl/latest/8474236.png,12/28/1988,Canada,183,87,L,,,,['1-time AHL Calder Cup Champion'],"Brothers: Alex Gallant, Brad Gallant"
2760,Scott Mayfield,Scott Mayfield,D,D,https://www.nhl.com/player/8476429,https://www.eliteprospects.com/player/45906/scott-mayfield,https://assets.nhle.com/mugs/nhl/latest/8476429.png,10/14/1992,USA,195,100,R,['Defensive Defenseman'],New York Islanders / Signed,"('2', '34', '2011')",[],
2761,Nikolay Kulemin,Nikolay Kulemin,LW,LW/RW,https://www.nhl.com/player/8473579,https://www.eliteprospects.com/player/9258/nikolai-kulyomin,https://assets.nhle.com/mugs/nhl/latest/8473579.png,7/14/1986,Russia,185,98,L,,,"('2', '44', '2006')","['1-time U18 WJC Gold Medal', '2-time World Championship Gold Medal', '1-time U20 WJC Silver Medal', '2-time World Championship Silver Medal', '1-time World Championship Bronze Medal', '1-time RSL Champion']",Son: Aleks Kulemin
2762,Cory Conacher,Cory Conacher,C,C/W,https://www.nhl.com/player/8476195,https://www.eliteprospects.com/player/33265/cory-conacher,https://assets.nhle.com/mugs/nhl/latest/8476195.png,12/14/1989,Canada,173,84,L,,,,"['1-time ACH Champion', '1-time AHL All-Rookie Team', '1-time AHL Calder Cup Champion', '1-time AHL Most Valuable Player (Les Cunningham Award)', '1-time AHL Rookie of the Year (Red Garrett Memorial Award)', '2-time AHL Second All-Star Team', '1-time NL Champion', '1-time Spengler Cup Winner']","Brother: Shane Conacher
Sister: Jaclyn Conacher
Cousin: Cooper Johnson
Distant relatives: Charlie Conacher, Lionel Conacher, Roy Conacher"
2763,Kael Mouillierat,Kael Mouillierat,LW,C/LW,https://www.nhl.com/player/8476147,https://www.eliteprospects.com/player/38319/kael-mouillierat,https://assets.nhle.com/mugs/nhl/latest/8476147.png,12/9/1987,Canada,183,85,L,,,,['1-time ECHL All-Rookie Team'],
